英文,音标,词性,中文
cream,/kri:m/,n,奶油；乳霜
credit card,/'kredit kɑ:d/,n,信用卡
cross,/krɒs/,v,横过，穿过；交叉
crossing,/'krɒsiŋ/,n,交叉路口；人行横道
crossroads,/ˈkrɒsrəʊdz/,n,十字路口
crowd,/kraud/,n,人群，群众
crowded,/'kraudid/,adj,拥挤的，塞满的
cry,/krai/,v,哭，喊叫
cup,/kʌp/,n,杯子
cupboard,/'kʌpbɒ:d/,n,橱柜，碗柜
curtains,/'kɜ:tənz/,n,窗帘
customer,/'kʌstəmə/,n,顾客
cut,/kʌt/,v,切，割，减少
cycle,/'saikl/,v,骑自行车；循环
dad,/dæd/,n,爸爸，爹爹
daily,/'deili/,adj & adv,每日的，每日地，日常的
dance,/dæns. dɑ:ns/,n & v,跳舞，舞蹈，舞会
dancer,/'dɑ:nsə/,n,舞蹈演员；跳舞的人
dancing,/'dænsiŋ/,n,舞蹈
danger,/'deindʒə/,n,危险，威胁
dangerous,/'deindʒərəs/,adj,危险的
dark,/dɑ:k/,adj,黑暗的；深色的
date,/deit/,n,日期；约会
daughter,/'dɒ:tə/,n,女儿
day,/dei/,n,天，日子，白天
dead,/ded/,adj,死的
dear,/'diə/,adj,亲爱的；贵的
December,/di'sembə/,n,十二月
decide,/di'said/,v,决定
degree,/di'gri:/,n,程度，度数，学位
delay,/di'lei/,n & v,耽搁，延误
delayed,/di'leid/,adj,延误的；迟的
delicious,/di'liʃəs/,adj,美味的
dentist,/'dentist/,n,牙科医生
department,/di'pɑ:tmənt/,n,部门，系
department store,/di'pɑ:tmənt stɒ:/,n,百货商店
describe,/di'skraib/,v,描述，描写
desk,/desk/,n,书桌，课桌
diary,/'daiəri/,n,日记
dictionary,/'dikʃənəri/,n,字典，词典
die,/dai/,v,死，死亡
difference,/'difərəns/,n,不同，差异
different,/'difərənt/,adj,不同的
difficult,/'difikəlt/,adj,困难的
digital,/'didʒitəl/,adj,数字的
dining room,/'dainiŋ ru:m/,n,饭厅
dinner,/'dinə/,n,晚餐，正餐
dinosaur,/'dainəsɒ:/,n,恐龙
diploma,/di'pləumə/,n,文凭，毕业证书
dirty,/'dɜ:ti/,adj,脏的
disco,/'diskəu/,n,迪斯科舞厅
discount,/'diskaunt/,n,折扣
dish,/diʃ/,n,盘子，碟子；菜肴
do,/du:/,v,做，进行，完成
doctor,/'dɒktə/,n,医生，博士
dog,/dɒg/,n,狗
doll,/dɒl/,n,玩具娃娃
dollar,/'dɒlə/,n,美元
dolphin,/'dɒlfin/,n,海豚
door,/dɒ:/,n,门
dot,/dɒt/,n,点，圆点，小数点
double,/'dʌbl/,adj,两倍的，双重的
down,/daun/,adv & prep,向下，下去
download,/ˌdaʊnˈləʊd/,n & v,下载；下载的文件
downstairs,/'daun'steəz/,adv,在楼下
dozen,/'dʌzn/,num,十二；一打
dragon,/'drægən/,n,龙
draw,/drɒ:/,v,画；拉；抽出
drawing,/'drɒ:iŋ/,n,图画，素描
dream,/dri:m/,n & v,梦，梦想
dress,/dres/,n & v,连衣裙；穿衣，打扮
drink,/driŋk/,n & v,饮料；喝
drive,/draiv/,v,驾驶，开车
driver,/'draivə/,n,司机；驾驶员
driving licence,/ˈdraiviŋ ˈlaisəns/,n,驾驶执照
drum,/drʌm/,n,鼓，鼓声
dry,/drai/,adj & v,干的；使变干
duck,/dʌk/,n,鸭子
during,/'djuəriŋ/,prep,在...的时候
DVD,/ˌdiː viː ˈdiː/,n,数字影碟，DVD光盘
DVD player,/ˌdiː viː ˈdiː 'pleiə/,n,DVD机
each,/i:tʃ/,det & pron,每个，各
ear,/iə/,n,耳朵
early,/'ɜ:li/,adj & adv,早的，很早，早熟的
earn,/ɜ:n/,v,赚得，获得，博得
east,/i:st/,"n, adj & adv",东方，东方的，向东方
Easter,/'i:stə/,n,复活节
easy,/'i:zi/,adj,容易的
eat,/i:t/,v,吃
egg,/eg/,n,蛋，卵
eight,/eit/,num,八
eighteen,/'ei'ti:n/,num,十八
eighteenth,/ei'ti:nθ/,num,第十八
eighth,/eitθ/,num,第八
eighty,/'eiti/,num,八十
electric,/i'lektik/,adj,电的，导电的，电动的
electricity,/.ilek'trisiti/,n,电，电流，电学
elephant,/'elifənt/,n,象
eleven,/i'levn/,num,十一
eleventh,/i'levnθ/,num,第十一
else,/els/,adv,另外，否则，不然
email,/'i:'meil/,n & v,电子邮件
empty,/'empti/,adj & v,空的；倒空
end,/end/,v & n,结束，终结，终点
engine,/'endʒin/,n,引擎，发动机
engineer,/.endʒi'niə/,n,工程师，工兵
enjoy,/in'dʒɒi/,v,享受，喜欢，欣赏
enough,/i'nʌf/,det & pron,足够的，充足的
enter,/'entə/,v,进入；参加
entrance,/'entrəns/,n,入口，进入
envelope,/'envələup/,n,信封
euro,/'juərəu/,n,欧元
Europe,/'juərəp/,n,欧洲
even,/'i:vən/,adv,甚至
evening,/'i:vniŋ/,n,傍晚，晚间，末期
ever,/'evə/,adv,曾经，究竟，永远
every,/'evri/,det,每一，所有的
everybody,/'evribɒdi/,pron,每个人，人人
everyone,/'evriwʌn/,pron,每个人，人人
everything,/'evriθiŋ/,pron,每件事物，所有事物
everywhere,/'evrihweə/,adv,各处，到处
exam,/ig'zæm/,n,考试，测验
example,/ig'zæmpl/,n,例子，样本，实例
excellent,/'ekslənt/,adj,优良的，杰出的，出色的
except,/ik'sept/,prep,除了...之外，若不是，除非
excited,/ik'saitid/,adj,兴奋的，激动的
exciting,/ik'saitiŋ/,adj,令人兴奋的，刺激的
excuse,/ik'skju:z/,v,原谅；借口
exercise,/'eksəsaiz/,n & v,锻炼；练习
exhibition,/.eksi'biʃən/,n,展览，展览会
exit,/'eksit/,n,出口
expensive,/ik'spensiv/,adj,昂贵的
explain,/ik'splein/,v,解释，说明
explore,/ik'splɒ:/,v,探索，探险
explorer,/ik'splɒ:rə/,n,探险家，探索者
extra,/'ekstrə/,det & adj,额外的，特别的
eye,/ai/,n,眼睛
face,/feis/,n,脸，面容，正面
factory,/'fæktəri/,n,工厂
fail,/feil/,v,失败；不及格
fair,/feə/,adj,公平的；合理的
fall,/fɒ:l/,v,落下，跌倒；（美式）秋天
family,/'fæməli/,n,家庭，家人，族
famous,/'feiməs/,adj,出名的，著名的
fan,/fæn/,n,风扇，迷，狂热者
fantastic,/fæn'tæstik/,adj,极好的
far,/fɑ:/,adv,远，很远
farm,/fɑ:m/,n,农场，农田
farmer,/'fɑ:mə/,n,农民
fashion,/'fæʃən/,n,时尚，流行款式
fast,/fɑ:st/,adj & adv,快的；快地
fast food,/fɑ:st fu:d/,n,速食，快餐
fat,/fæt/,adj,肥的，胖的，油腻的
father,/'fɑ:ðə/,n,父亲
favourite,/'feivərit/,adj,喜爱的，宠爱的
February,/'februəri/,n,二月
feel,/fi:l/,v,感觉，有知觉，觉得
festival,/'festəvəl/,n,节日，庆祝，欢宴
fever,/'fi:və/,n,发烧
few,/fju:/,det & adj,很少的，不多的，少数的
field,/fi:ld/,n,田地，场地；领域
fifteen,/'fif'ti:n/,num,十五
fifteenth,/'fif'ti:nθ/,num,第十五
fifth,/fifθ/,num,第五
fifty,/'fifti/,num,五十
fill,/fil/,v,装满，填充
fill in,/fil in/,phr v,填写，填充
film,/film/,n & v,电影；胶片
find,/faind/,v,发现，裁决，感到
fine,/fain/,adj,好的，晴朗的，健康的
finger,/'fiŋgə/,n,手指
finish,/'finiʃ/,v,完成，结束，用完
fire,/'faiə/,n,火，炉火，电炉
firefighter,/ˈfaɪəfaɪtə(r)/,n,消防员
fire station,/'faiə 'steiʃən/,n,消防站
first,/fɜ:st/,adv & adj,首先，第一的，第一
first name,/fɜ:st neim/,n,名，名字
fish,/fiʃ/,n & v,鱼，钓，捕鱼
fishing,/'fiʃiŋ/,n,钓鱼（活动）
fit,/fit/,adj,健康的；合适的
five,/faiv/,num,五
fix,/fiks/,v,修理；安装
flat,/flæt/,n,公寓，单元房
flight,/flait/,n,航班；飞行
floor,/flɒ:/,n,地板；楼层
flower,/'flauə/,n,花，花朵
fly,/flai/,n & v,飞；苍蝇
fog,/fɒg/,n,雾
foggy,/'fɒgi/,adj,有雾的
follow,/'fɒləu/,v,跟随，沿行，接着
food,/fu:d/,n,食物，养料
foot,/fut/,n,脚；英尺
football,/'futbɒ:l/,n,足球，橄榄球
footballer,/'futbɒ:lə/,n,足球运动员
for,/fɒ:/,prep,为，因为，至于
foreign,/'fɒ:rin/,adj,外国的
forest,/'fɒrist/,n,森林，林区
forget,/fə'get/,v,忘记，忽略，忘
fork,/fɒ:k/,n,叉子，餐叉
form,/fɒ:m/,n,表格；形式；种类
for sale,/fɒ: seil/,prep phr,出售；待售
forty,/'fɒ:ti/,num,四十
four,/fɒ:/,num,四
fourteen,/'fɒ:'ti:n/,num,十四
fourteenth,/'fɒ:'ti:nθ/,num,第十四
fourth,/fɒ:θ/,num,第四
France,/frɑ:ns/,n,法国
free,/fri:/,adj,自由的；免费的；空闲的
French,/frentʃ/,adj & n,法国的；法国人；法语
fresh,/freʃ/,adj,新鲜的，新奇的，另外的
Friday,/'fraidi/,n,星期五
fridge,/fridʒ/,n,电冰箱
fried,/fraid/,adj,油炸的
friend,/frend/,n,朋友，支持者，赞助者
friendly,/'frendli/,adj,友好的，亲切的，互助的
from,/frɒm/,prep,从，来自，根据
front,/frʌnt/,n,前面，开头，前线
fruit,/fru:t/,n,水果，果类，结果
fry,/frai/,v,油炸，煎
full of,/ful ɔv/,adj,充满…的
fun,/fʌn/,n,乐趣，玩笑，娱乐
funny,/'fʌni/,adj,好笑的，有趣的，滑稽的
furniture,/'fənitʃə/,n,家具
game,/geim/,n,游戏；比赛
garage,/gə'rɑ:ʒ. 'gærɑ:ʒ/,n,车库，汽车修理厂，机库
garden,/'gɑ:dn/,n,花园，果园，菜园
gardener,/'gɑ:dənə/,n,园丁；园艺工人
gas,/gæs/,n,气体，汽油，瓦斯
gate,/geit/,n,大门，栅栏门
geography,/dʒi'ɒgrəfi/,n,地理（学）
German,/'dʒɜ:mən/,adj & n,德国的；德国人；德语
Germany,/'dʒɜ:məni/,n,德国
get,/get/,v,得到，到达，获得
get fit,/get fit/,v,健身
get off,/get ɒf/,phr v,下来，脱下，出发
get on,/get ɒn/,phr v,上车；进展；相处
get up,/get ʌp/,phr v,起床，起身
girl,/gɜ:l/,n,女孩
give,/giv/,v,给，交给
glad,/glæd/,adj,高兴的，喜欢的，情愿的
glass,/glɑ:s/,n & adj,玻璃，玻璃杯，透镜
glasses,/'glɑ:siz/,n pl,眼镜
gloves,/glʌvz/,n pl,手套
go,/gou/,v,去，走；进行
goal,/gəul/,n,球门；目标
gold,/gəuld/,n & adj,金子，黄金；金色的
golf,/gɒlf/,n,高尔夫球
good,/gud/,adj,好的，优良的，上等的
goodbye,/gud'bai/,exclam,再见
go out,/gou aut/,phr v,出去，熄灭，过时
gram,/græm/,n,克（重量单位）
grandchild,/'^rændtʃaild/,n,孙子女；外孙子女
granddad,/ˈɡrændæd/,n,爷爷；外公
granddaughter,/'^rændɔ:tə(r)/,n,孙女，外孙女
grandfather,/'grændfɑ:ðə/,n,祖父，始祖
grandma,/'grændmɑ:/,n,奶奶，外婆
grandmother,/'grændmʌðə/,n,祖母，女祖先
grandpa,"/'^rænpɑ:, '^rændpɑ:/",n,爷爷，老太爷，外公
grandparent,/'grændperənt/,n,（外）祖父/母
grandson,/'grændsʌn/,n,孙子，外孙
grape,/greip/,n,葡萄，葡萄树
grass,/græs/,n,草，草原，牧场
great,/greit/,adj,伟大的；极好的；大的
green,/gri:n/,adj,绿色的
grey,/grei/,adj,灰色的，阴沉的
grill,/gril/,v,烤，烧烤
grilled,/grild/,adj,烤的
group,/gru:p/,n,团体，组，团
grow,/grəu/,v,种植，生长
grow up,/grəu ʌp/,phr v,长大，成长
guest,/gest/,n,客人，来宾，旅客
guest-house,/gest haus/,n,宾馆，家庭旅馆
guide,/gaid/,n,向导，导游；指南
guidebook,/'gaidbuk/,n,指南，手册，要览
guitar,/gi'tɑ:/,n,吉他
guy,/gai/,n,家伙，小伙子
gym,/dʒim/,n,体育馆；健身房
hair,/heə/,n,头发，毛发，些微
hairdresser,/'heədresə/,n,美发师，理发师
hairdryer,/ˈheədraɪə(r)/,n,（吹干头发的）吹风机
half,/hɑ:f/,n & pron,一半，半场，不完全
half past,/hɑ:f pɑ:st/,prep phr,…点半
hall,/hɒ:l/,n,门厅，走廊，会堂
Halloween,/.hæləu'i:n/,n,万圣节前夜
hand,/hænd/,n,手，爪，指针
happen,/'hæpən/,v,发生，恰巧
happy,/'hæpi/,adj,快乐的，幸福的，愉快的
hard,/hɑ:d/,adj & adv,坚硬的；困难的
hat,/hæt/,n,帽子
hate,/heit/,v,憎恨，仇恨，憎恶
have,/hæv/,v,有，怀有，拿
have got,/hæv gɔt/,v,拥有
have to,/ˈhæv tə/,v,不得不，只好，只得
he,/hi:/,pron,他
head,/hed/,n,头，头脑，领袖
headache,/'hedeik/,n,头痛
health,/'helθ/,n,健康，卫生，蓬勃
healthy,/'helθi/,adj,健康的，有益健康的，卫生的
hear,/hiə/,v,听到，听见，倾听
heart,/hɑ:t/,n,心，心脏，中心
heating,/'hi:tiŋ/,n,供暖，暖气设备
heavy,/'hevi/,adj,重的，巨大的，沉重的
helicopter,/'helikɒptə/,n,直升机
hello,/hə'ləu/,exclam,喂，嘿
help,/help/,v,帮助，有用，帮忙
her,/hɜ:/,det & pron,她的，她
here,/hiə/,adv,在这里，此时，这里
hers,/hɜ:z/,pron,她的
herself,/hɜ:'self/,pron,她自己，她亲自
high,/hai/,adj,高的，高级的，主要的
hill,/hil/,n,小山，丘陵，小土堆
him,/him/,pron,他
himself,/him'self/,pron,他自己，他亲自
hip hop,/hip hɔp/,n,嘻哈音乐
his,/hiz/,det & pron,他的
history,/'histəri/,n,历史
hit,/hit/,v,打，打击，打中
hobby,/'hɒbi/,n,爱好，业余爱好
hockey,/'hɒki/,n,冰球，曲棍球
hold,/həuld/,v,拿着；握住
holidays,"/'hɔlə,deiz/",n,假期，假日
home,/həum/,n & adv,家，在家，避难所
homework,/'həumwɜ:k/,n,家庭作业，家里做的工作
honey,/'hʌni/,n,蜂蜜
hope,/həup/,v,希望，期望，信赖
horse,/hɒ:s/,n,马
hospital,/'hɒspitəl/,n,医院
hot,/hɒt/,adj,热的；辣的
hotel,/həu'tel/,n,旅馆，客栈
hour,/auə/,n,小时，钟头
house,/haus/,n,房子，住宅
housework,/'hauswɜ:k/,n,家务
how,/hau/,adv,如何，怎样，多少
huge,/hju:dʒ/,adj,巨大的
hundred,/'hʌndrəd/,num,百
hungry,/'hʌŋgi/,adj,饥饿的，荒年的，渴望的
