id,sentence_en,sentence_zh,grammar,new_words,phrases,review_note,covered_ids
11,"Some socks are on the chair, and a pair of shoes is under it.",一些短袜在椅子上，椅子下面有一双鞋。,介词 on 和 under 表示“在……上／在……下”。a pair of 加复数名词表示“一双……”，some 后面接复数名词 socks。,chair|/tʃeə(r)/|n.|椅子; sock|/sɒk/|n.|短袜; some|/sʌm; səm/|adj. & pron.|一些；某些；有些；有的; pair|/peə(r)/|n.|一双；一对; of|/ɒv; əv/|prep.|属于（某人）；关于（某人）; on|/ɒn/|prep.|在……上; under|/'ʌndə(r)/|prep.|在……下,a pair of|一双……; on the chair|在椅子上; under it|在它下面,今日回读：请重新朗读背诵第 10、9、7、4 天的句子。自然重现旧词：shoe（复数 shoes）、and、the、are、is、it、a。,"71,72,73,74,75,76,77"
12,"""Mum, I cannot find my new shoes in the room!"" ""OK, Ron — no problem! They are under the bed — keep your room tidy!""",“妈妈，我在房间里找不到我的新鞋了！”“好了，罗恩——没问题！它们在床底下——要保持房间整洁哦！”,cannot（不能）加动词原形表示“不能做某事”，cannot 常缩写为 can't；in the room 用介词 in，under the bed 用介词 under；keep your room tidy 是祈使句，用来提出建议。,mum|/mʌm/ (= mom /mɒm/)|n.|妈妈; not|/nɒt/|adv.|不；没有; find|/faɪnd/|v.|找到；发现; new|/njuː/|adj.|新的；刚出现的; no|/nəʊ/|interj. & adj.|不；不要；没有；不是; room|/ruːm/|n.|房间; OK|/əʊ'keɪ/|interj. & adj. & adv.|好；行；可以（的）,in the room|在房间里; under the bed|在床底下; keep your room tidy|保持房间整洁,今日回读：请重新朗读背诵第 11、10、8、5 天的句子。自然重现旧词：can、my、in、shoe（shoes）、they、under（第 11 天）、bed（第 10 天）、keep、tidy、your、I。,"78,79,80,81,82,83,84"
13,"Sorry, Dad, your glasses are on your head — I can see them! Welcome to my room, Harry!",对不起，爸爸，你的眼镜就在你头上——我能看见它们！哈利，欢迎来我的房间！,宾格 them 指代上文复数名词 glasses；on your head 是介词短语；Welcome to 加地点表示“欢迎来到……”（罗恩请哈利参观自己的房间）。,"sorry|/'sɒri/|adj.|抱歉的；惋惜的; dad|/dæd/|n.|爸爸; glasses|/'ɡlɑːsɪz/|n. (pl.)|眼镜; see|/siː/|v.|看见; them|/ðem; ðəm/|pron.|（they 的宾格）他（她、它）们; head|/hed/|n.|头; welcome|/'welkəm/|adj. & interj., v. & n.|受欢迎的；欢迎",on your head|在你头上; welcome to|欢迎来到……,今日回读：请重新朗读背诵第 12、11、9、6 天的句子。自然重现旧词：your、can、my、on、room（承接第 12 天房间场景）、I。,"85,86,87,88,89,90,91"
14,"These baby chickens are brown, and Mum's black cat puts her nose on the plant.",这些小鸡宝宝是棕色的，妈妈的黑猫把它的鼻子凑到植物上。,these 加复数名词表示“这些”。Mum's 是名词所有格，表示“妈妈的”；颜色词 brown、black 放在名词前作定语。,her|/hɜː(r); hə(r)/|pron.|她的; nose|/nəʊz/|n.|鼻子; cat|/kæt/|n.|猫; these|/ðiːz/|pron.|这些; plant|/plɑːnt/|n. & v.|植物；种植; baby|/'beɪbi/|n.|动物幼崽；婴儿; chicken|/'tʃɪkɪn/|n.|鸡；鸡肉,baby chickens|小鸡宝宝; black cat|黑猫; her nose|她的鼻子,今日回读：请重新朗读背诵第 13、12、10、7 天的句子。本句回顾颜色词 brown、black，动词 put（三单 puts）、介词 on，以及第 12 天的 Mum。,"92,93,94,95,96,97,98"
15,This dog and the rabbit are under the apple tree. Flowers and tomatoes are red.,这只狗和那只兔子在苹果树下面。花和西红柿都是红色的。,this 加单数名词表示“这个”。复数主语 flowers and tomatoes 后面 be 动词用 are；tomato 的复数要加 -es（tomatoes）。,dog|/dɒɡ/|n.|狗; rabbit|/'ræbɪt/|n.|兔子; tomato|/tə'mɑːtəʊ; tə'meɪtəʊ/|n.|(pl. tomatoes) 西红柿; flower|/'flaʊə(r)/|n.|花; apple|/'æpl/|n.|苹果; tree|/triː/|n.|树; this|/ðɪs/|pron.|这；这个,under the tree|在树下; apple tree|苹果树,今日回读：请重新朗读背诵第 14、13、11、8 天的句子。自然重现旧词：under（第 11 天）、red、and、the、are，承接第 14 天农场动物场景。,"99,100,101,102,103,104,105"
16,Those animals on the farm are ducks. My grandpa has many potatoes and chickens.,农场里那些动物是鸭子。我爷爷有许多土豆和鸡。,those 加复数名词表示“那些”，和 this、these 对应；many 加复数名词表示“许多”；potato 的复数是 potatoes。,those|/ðəʊz/|pron.|那些; animal|/'ænɪml/|n.|动物; duck|/dʌk/|n.|鸭子; potato|/pə'teɪtəʊ/|n.|(pl. potatoes) 土豆; many|/'meni/|adj. & pron.|许多; grandpa|/'ɡrænpɑː/ (= grandfather /'ɡrænfɑːðə(r)/)|n.|爷爷；外公; farm|/fɑːm/|n.|农场,on the farm|在农场; many potatoes|许多土豆,今日回读：请重新朗读背诵第 15、14、12、9、1 天的句子。自然重现旧词：my、on、the、and、have（三单 has）、chicken（第 14 天）。,"106,107,108,109,110,111,112"
17,"The farm has a small house, a big lake, cows, horses and sheep.",农场里有一座小房子、一个大湖，还有奶牛、马和绵羊。,名词复数：cow 变 cows、horse 变 horses，sheep 单复数同形。形容词 small、big 放在名词前面。,cow|/kaʊ/|n.|奶牛; small|/smɔːl/|adj.|小的; lake|/leɪk/|n.|湖; house|/haʊs/|n.|房子; horse|/hɔːs/|n.|马; sheep|/ʃiːp/|n.|(pl. sheep) 羊；绵羊; big|/bɪɡ/|adj.|大的,a big lake|一个大湖; cows and sheep|奶牛和绵羊,今日回读：请重新朗读背诵第 16、15、13、10、2 天的句子。自然重现旧词：farm（第 16 天）、have（has）、a、and、the。,"113,114,115,116,117,118,119"
18,Look! There is a kind pig on the grass. He is my uncle's baby pig.,看！草地上有一头友善的猪。它是我舅舅的猪宝宝。,there be 句型：There is 加单数名词，表示“有”；he 指代上文提到的动物；my uncle's 是名词所有格。,look|/lʊk/|v.|看；看起来; uncle|/'ʌŋkl/|n.|舅父；叔父；伯父；姑父；姨父; grass|/ɡrɑːs/|n.|草; kind|/kaɪnd/|n. & adj.|种类；体贴的；亲切的; he|/hiː; hi/|pron.|他; pig|/pɪɡ/|n.|猪; there|/ðeə(r)/|adv.|在那里,there is|有（接单数）; on the grass|在草地上; my uncle's|我舅舅的,今日回读：请重新朗读背诵第 17、16、14、11、3 天的句子。自然重现旧词：my、on、baby（第 14 天）、is、a、the。,"120,121,122,123,124,125,126"
19,Look at the pig! His beautiful home is behind the farm. We like it!,看那头猪！它美丽的家在农场后面。我们真喜欢它！,behind 表示“在……后面”；look at 加名词表示“看……”；his 是物主代词“他的”，指代上文的 pig。,behind|/bɪ'haɪnd/|prep.|在……的后面; home|/həʊm/|n.|家; beautiful|/'bjuːtɪfl/|adj.|美丽的; like|/laɪk/|v. & prep.|喜欢；例如；像……一样; his|/hɪz; ɪz/|pron.|他的; at|/æt; ət/|prep.|向；朝；在（某处、某时间或时刻）; we|/wiː; wi/|pron.|我们,look at|看……; behind the farm|在农场后面,今日回读：请重新朗读背诵第 18、17、15、12、4 天的句子。自然重现旧词：look（第 18 天）、pig（第 18 天）、farm（第 16、17 天）、the、it。,"127,128,129,130,131,132,133"
20,"""May I know your name, friend?"" Harry and Ron make friends and get apples from old Hagrid.",“朋友，我可以知道你的名字吗？”哈利和罗恩交上了朋友，还从老海格那里得到了苹果。,May I ...? 表示礼貌地请求“我可以……吗”；make friends 是固定搭配“交朋友”；get ... from 表示“从……得到……”。,make|/meɪk/|v.|使成为；制造; friend|/frend/|n.|朋友; get|/ɡet/|v.|去取（或带来）；得到; know|/nəʊ/|v.|知道; from|/frɒm; frəm/|prep.|从……来；从……开始; may|/meɪ/|modal v.|可以；可能; old|/əʊld/|adj.|老的；旧的,make friends|交朋友; get ... from|从……得到……,今日回读：请重新朗读背诵第 19、18、16、13、5 天的句子。自然重现旧词：and、your、name、apple（第 15 天）、I，为第 2 幕收尾。,"134,135,136,137,138,139,140"
21,"""Yes, I am Harry. Last year Mr Smith, our English teacher, had a dog on his farm.""",“是的，我是哈利。去年我们的英语老师史密斯先生在他农场里养了一只狗。”,一般过去时标志 last year，had 是 have 的过去式；Yes 用于应答；Mr 放在姓氏前称呼男士（Mr Smith＝史密斯先生）；our English teacher 跟在名字后面，说明史密斯先生是谁。,last|/lɑːst/|adj.|最后的；末尾的; year|/jɪə(r); jɜː(r)/|n.|年; yes|/jes/|interj.|是的；可以; Mr|/'mɪstə(r)/||（用于男子的姓氏或姓名前）先生; our|/ɑː(r); 'aʊə(r)/|pron.|我们的; English|/'ɪŋɡlɪʃ/|n. & adj.|英语；英格兰人；英语的；英格兰的; teacher|/'tiːtʃə(r)/|n.|教师,last year|去年; our English teacher|我们的英语老师; on the farm|在农场,今日回读：请重新朗读背诵第 20、19、17、14、6 天的句子。本句重现了 dog、farm、his、have（had）。,"141,142,143,144,145,146,147"
22,Who is she? She is a student of my age. Which job is her favourite?,她是谁？她和我同龄，是一名学生。她最喜欢的工作是什么？,who 问“谁”，which 问“哪一个”；of my age 表示“和我同龄的”，favourite 后常接名词。,which|/wɪtʃ/|pron.|哪一个；哪一些; who|/huː/|pron.|谁；什么人; job|/dʒɒb/|n.|工作; student|/'stjuːdnt/|n.|学生; age|/eɪdʒ/|n.|年龄; she|/ʃiː; ʃi/|pron.|她; favourite|/'feɪvərɪt/ (= favorite)|adj.|最喜欢的；最爱的,of my age|和我同龄; her favourite job|她最喜欢的工作,今日回读：请重新朗读背诵第 21、20、18、15、7 天的句子。自然重现旧词 is、a、of、my、her。,"148,149,150,151,152,153,154"
23,"I like my pet Hedwig very much — she is cute! Pandas in China are cute too, and China is hot.",我非常喜欢我的宠物海德薇——她很可爱！中国的熊猫也很可爱，而且中国很热。,like…very much 表示“非常喜欢”；very 可以修饰形容词（very cute）；这句话不再是比喻，熊猫和猫头鹰各说各的可爱。,pet|/pet/|n.|宠物; very|/'veri/|adv.|很；非常; cute|/kjuːt/|adj.|可爱的; much|/mʌtʃ/|adv. & pron. & adj.|非常；十分；许多；大量; China|/'tʃaɪnə/||中国; panda|/'pændə/|n.|熊猫; hot|/hɒt/|adj.|热的；炎热的,very much|非常; in China|在中国,今日回读：请重新朗读背诵第 22、21、19、16、8 天的句子。自然重现旧词 I、like、my、is、in，以及昨天的 she。,"155,156,157,158,159,160,161"
24,"Now Ron lives with his parents, and they also like Chinese food.",现在罗恩和爸爸妈妈住在一起，他们也喜欢中国菜。,一般现在时，主语 Ron 是第三人称单数，live 要加 -s；also 常放在实义动词前。,also|/'ɔːlsəʊ/|adv.|也；而且; now|/naʊ/|adv.|现在；目前; live|/lɪv/|v.|居住；生活; with|/wɪð; wɪθ/|prep.|和……在一起；带有；使用; parent|/'peərənt/|n.|父（母）亲; Chinese|/ˌtʃaɪ'niːz/|adj. & n.|中国的；中国人；汉语; food|/fuːd/|n.|食物,live with|和……住在一起; Chinese food|中国菜,今日回读：请重新朗读背诵第 23、22、20、17、9 天的句子。自然重现旧词 his、and、they、like。,"162,163,164,165,166,167,168"
25,"The family on the wall can speak about sports, and we often play sports at Hogwarts.",墙上的一家人会谈论运动，我们在霍格沃茨也经常运动。,can 后接动词原形；often 表示频率，放在实义动词前；speak about 表示“谈论”。,about|/ə'baʊt/|prep. & adv.|关于；大约; wall|/wɔːl/|n.|墙; family|/'fæməli/|n.|家庭; speak|/spiːk/|v.|说（某种语言）；说话; sport|/spɔːt/|n.|运动; often|/'ɒfn; 'ɒftən/|adv.|时常；常常; play|/pleɪ/|v.|玩,on the wall|在墙上; speak about|谈论; play sports|做运动,今日回读：请重新朗读背诵第 24、23、21、18、10 天的句子。自然重现旧词 the、on、can、and、at。,"169,170,171,172,173,174,175"
26,"After school, we want to be in a place with music, and we love it.",放学后，我们想待在一个有音乐的地方，我们很喜欢。,want to be/do 表示“想要成为/做”；after school 作时间状语，用逗号与主句隔开。,after|/'ɑːftə(r)/|prep. & conj.|在……以后; school|/skuːl/|n.|学校; want|/wɒnt/|v.|想要; be|/biː; bi/|v.|是; place|/pleɪs/|n.|地方；地点; music|/'mjuːzɪk/|n.|音乐; love|/lʌv/|v. & n.|喜爱；爱,after school|放学后; want to be|想要成为/想要待在; a place with music|有音乐的地方,今日回读：请重新朗读背诵第 25、24、22、19、11 天的句子。自然重现旧词 we、to、in、a、it，以及前天的 with。,"176,177,178,179,180,181,182"
27,"""Is this my mother or my aunt?"" says Ron. The children are his brothers, sisters and cousins.",罗恩问：“这是我妈妈还是我姑姑？”这些孩子是他的兄弟、姐妹和堂表亲。,or 连接选择项构成选择疑问句；child 的复数是 children，兄弟姊妹用复数体现一家人多；says Ron 是“动词在前、主语在后”的说法。,or|/ɔː(r)/|conj.|或者；也不（用于否定句）; mother|/'mʌðə(r)/|n.|母亲; child|/tʃaɪld/|n.|(pl. children /'tʃɪldrən/) 儿童；小孩; sister|/'sɪstə(r)/|n.|姐；妹; brother|/'brʌðə(r)/|n.|兄；弟; cousin|/'kʌzn/|n.|堂兄（弟、姊、妹）；表兄（弟、姊、妹）; aunt|/ɑːnt/|n.|姑（姨、伯、婶、舅）母,my mother or my aunt|我妈妈还是我姑姑; the children|孩子们,今日回读：请重新朗读背诵第 26、25、23、20、12 天的句子。自然重现旧词 is、this、my、the、are、and；呼应第 21 天 our、teacher 的家庭话题。,"183,184,185,186,187,188,189"
28,My grandmother and father come to play ping-pong every day of the week.,我奶奶和爸爸一周七天每天都来打乒乓球。,every day 表示频率“每天”；come to do 表示“来做某事”；主语是两个人，come 用原形。,grandmother|/'ɡrænmʌðə(r)/ (= grandma /'ɡrænmɑː/)|n.|奶奶；外婆; come|/kʌm/|v.|来；来到; ping-pong|/'pɪŋpɒŋ/|n.|乒乓球运动; every|/'evri/|adj.|每一；每个; day|/deɪ/|n.|一天；白天; week|/wiːk/|n.|周; father|/'fɑːðə(r)/|n.|父亲；爸爸,play ping-pong|打乒乓球; every day|每天; every day of the week|一周里的每一天,今日回读：请重新朗读背诵第 27、26、24、21、13 天的句子。自然重现旧词 my、and、to、of、the，以及第 25 天的 play。,"190,191,192,193,194,195,196"
29,"They read a lot in their classroom, play the piano well and play basketball.",他们在教室里读很多书，钢琴弹得好，还打篮球。,乐器前加 the（play the piano），球类前不加 the（play basketball）；a lot 表示“很多”；well 修饰动词。,lot|/lɒt/|pron.|大量；许多; read|/riːd/|v.|读；阅读; piano|/pi'ænəʊ/|n.|(pl. pianos) 钢琴; well|/wel/|adv. & interj. & adj.|好；令人满意地；嗯；好吧；健康的; basketball|/'bɑːskɪtbɔːl/|n.|篮球；篮球运动; classroom|/'klɑːsruːm/|n.|教室; their|/ðeə(r)/|pron.|他（她、它）们的,read a lot|读很多书; play the piano|弹钢琴; play basketball|打篮球,今日回读：请重新朗读背诵第 28、27、25、22、14 天的句子。自然重现旧词 they、a、in、the、and，以及第 25 天的 play。,"197,198,199,200,201,202,203"
30,A little child with short hair plays ball and talks with tall students on the playground.,一个短头发的小孩子在操场上和高个子学生们聊天、玩球。,一般现在时三单：child 是单数，play 和 talk 都加 -s；with short hair 作定语修饰 child。,little|/'lɪtl/|adj.|小的；年幼的; ball|/bɔːl/|n.|球; playground|/'pleɪɡraʊnd/|n.|游乐场；操场; talk|/tɔːk/|v. & n.|说话；交谈; tall|/tɔːl/|adj.|高的; short|/ʃɔːt/|adj.|短的；矮的; hair|/heə(r)/|n.|头发,short hair|短头发; play ball|玩球; on the playground|在操场上,今日回读：请重新朗读背诵第 29、28、26、23、15 天的句子。本句重现了 child（第 27 天）、student（第 22 天）、play（第 25 天）、with（第 24 天）等本批词汇。,"204,205,206,207,208,209,210"
31,"Here is a long, quiet room, but a girl cannot find any photo in it.",这里有一个又长又安静的房间，可是一个女孩在里面找不到任何照片。,Here is 句型表示“这里有……”；but 连接转折；any 常用于否定句，表示“任何”。,long|/lɒŋ/|adj.|长的; quiet|/'kwaɪət/|adj.|安静的; girl|/ɡɜːl/|n.|女孩; but|/bʌt; bət/|conj.|但是; any|/'eni/|adj. & pron.|任何（的）；任一（的）; here|/hɪə(r)/|adv.|在这里; photo|/'fəʊtəʊ/ (= photograph /'fəʊtəɡrɑːf/)|n.|(pl. photos) 照片,here is|这里有……; any photo|任何照片,今日回读：请重新朗读背诵第 30、29、27、24、16、1 天的句子。自然重现旧词：room、can（cannot）、not、find、in、it、is。,"211,212,213,214,215,216,217"
32,"At night, all the students always listen and think, and Ron puts his football and pink socks under the bed.",夜晚，所有学生总是听一听、想一想；罗恩把他的足球和粉红色的袜子放到床底下。,频率副词 always 放在实义动词前；at night 是固定短语；listen、think、put 三个动词并列，共用一个主语或分句。pink 修饰 socks，表示“粉红色的袜子”。,pink|/pɪŋk/|adj. & n.|粉红色（的）; always|/'ɔːlweɪz/|adv.|总是; night|/naɪt/|n.|夜晚; think|/θɪŋk/|v.|思考; all|/ɔːl/|pron. & adj.|所有（的）；全部（的）; listen|/'lɪsn/|v.|听; football|/'fʊtbɔːl/|n.|足球；足球运动,at night|在夜晚; under the bed|在床底下; pink socks|粉红色的袜子,今日回读：请重新朗读背诵第 31、30、28、25、17、2 天的句子。重现旧词：student、put（三单 puts）、his、sock（复数 socks）、under、bed、the。,"218,219,220,221,222,223,224"
33,"Next, the clever girl with big eyes is happy to help him in front of the class.",接下来，那个长着大眼睛的聪明女孩很开心地在全班面前帮助他。,be happy to do sth 表示“乐于做某事”；in front of the class 表示“在全班面前”（class 前要加 the）；help 后接宾格 him。,"happy|/'hæpi/|adj.|快乐的; eye|/aɪ/|n.|眼睛; clever|/'klevə(r)/|adj.|聪明的; next|/nekst/|adj., adv. & n.|下一个（的）; him|/hɪm; ɪm/|pron.|（he 的宾格）他; help|/help/|v. & n.|帮助; front|/frʌnt/|n.|前面",be happy to do|乐于做某事; in front of the class|在全班面前; help him|帮助他,"今日回读：请重新朗读背诵第 32、31、29、26、18、3 天的句子。重现旧词：girl（S31 新词）, with, big, class, is, the。","225,226,227,228,229,230,231"
34,"Between the library and the back wall, they are putting their art up in the middle of the blackboard.",在图书馆和后墙之间，他们正把自己的美术作品张贴到黑板的正中间。,现在进行时 be + doing（are putting）表示正在发生的动作；between A and B 表示“在两者之间”；in the middle of 表示“在……中间”。,art|/ɑːt/|n.|艺术；美术; middle|/'mɪdl/|n. & adj.|中间；中间的; between|/bɪ'twiːn/|prep.|在……之间; library|/'laɪbrəri/|n.|图书馆; blackboard|/'blækbɔːd/|n.|黑板; up|/ʌp/|adv.|向上; back|/bæk/|n. & adj. & adv.|后面；背部；后面的；背后的；回来；回原处,put up|张贴; between...and|在……和……之间; in the middle of|在……中间,"今日回读：请重新朗读背诵第 33、32、30、27、19、4 天的句子。重现旧词：they, their, wall, on；front 类方位表达呼应 S33。重现旧词：they, their, wall；front 类方位表达呼应 S33。","232,233,234,235,236,237,238"
35,"In the science room, a famous picture is between the clock and the map, and the computer is under the window.",在科学（魔药）教室里，一幅著名的图画挂在时钟和地图之间，电脑放在窗户下面。,用方位介词 between...and 和 under 描述物品位置；a famous picture 是名词短语作主语。,clock|/klɒk/|n.|时钟；钟; map|/mæp/|n.|地图; computer|/kəm'pjuːtə(r)/|n.|电脑; window|/'wɪndəʊ/|n.|窗户; science|/'saɪəns/|n.|科学; picture|/'pɪktʃə(r)/|n.|照片；图画; famous|/'feɪməs/|adj.|著名的,science room|科学（魔药）教室; under the window|在窗户下面; between the clock and the map|在时钟和地图之间,"今日回读：请重新朗读背诵第 34、33、31、28、20、5 天的句子。重现旧词：room, under, in, the；between 复现 S34。","239,240,241,242,243,244,245"
