英文,音标,词性,中文
we,/wiː; wi/,pron.,我们
make,/meɪk/,v.,使成为；制造
friend,/frend/,n.,朋友
get,/ɡet/,v.,去取（或带来）；得到
know,/nəʊ/,v.,知道
from,/frɒm; frəm/,prep.,从……来；从……开始
may,/meɪ/,modal v.,可以；可能
old,/əʊld/,adj.,老的；旧的
last,/lɑːst/,adj.,最后的；末尾的
year,/jɪə(r); jɜː(r)/,n.,年
yes,/jes/,interj.,是的；可以
Mr,/'mɪstə(r)/,,（用于男子的姓氏或姓名前）先生
our,/ɑː(r); 'aʊə(r)/,pron.,我们的
English,/'ɪŋɡlɪʃ/,n. & adj.,英语；英格兰人；英语的；英格兰的
teacher,/'tiːtʃə(r)/,n.,教师
which,/wɪtʃ/,pron.,哪一个；哪一些
who,/huː/,pron.,谁；什么人
job,/dʒɒb/,n.,工作
student,/'stjuːdnt/,n.,学生
age,/eɪdʒ/,n.,年龄
she,/ʃiː; ʃi/,pron.,她
favourite,/'feɪvərɪt/ (= favorite),adj.,最喜欢的；最爱的
pet,/pet/,n.,宠物
very,/'veri/,adv.,很；非常
cute,/kjuːt/,adj.,可爱的
much,/mʌtʃ/,adv. & pron. & adj.,非常；十分；许多；大量
China,/'tʃaɪnə/,,中国
panda,/'pændə/,n.,熊猫
hot,/hɒt/,adj.,热的；炎热的
also,/'ɔːlsəʊ/,adv.,也；而且
now,/naʊ/,adv.,现在；目前
live,/lɪv/,v.,居住；生活
with,/wɪð; wɪθ/,prep.,和……在一起；带有；使用
parent,/'peərənt/,n.,父（母）亲
Chinese,/ˌtʃaɪ'niːz/,adj. & n.,中国的；中国人；汉语
food,/fuːd/,n.,食物
about,/ə'baʊt/,prep. & adv.,关于；大约
wall,/wɔːl/,n.,墙
family,/'fæməli/,n.,家庭
speak,/spiːk/,v.,说（某种语言）；说话
sport,/spɔːt/,n.,运动
often,/'ɒfn; 'ɒftən/,adv.,时常；常常
play,/pleɪ/,v.,玩
after,/'ɑːftə(r)/,prep. & conj.,在……以后
school,/skuːl/,n.,学校
want,/wɒnt/,v.,想要
be,/biː; bi/,v.,是
place,/pleɪs/,n.,地方；地点
music,/'mjuːzɪk/,n.,音乐
love,/lʌv/,v. & n.,喜爱；爱
or,/ɔː(r)/,conj.,或者；也不（用于否定句）
mother,/'mʌðə(r)/,n.,母亲
child,/tʃaɪld/,n.,(pl. children /'tʃɪldrən/) 儿童；小孩
sister,/'sɪstə(r)/,n.,姐；妹
brother,/'brʌðə(r)/,n.,兄；弟
cousin,/'kʌzn/,n.,堂兄（弟、姊、妹）；表兄（弟、姊、妹）
aunt,/ɑːnt/,n.,姑（姨、伯、婶、舅）母
grandmother,/'ɡrænmʌðə(r)/ (= grandma /'ɡrænmɑː/),n.,奶奶；外婆
come,/kʌm/,v.,来；来到
ping-pong,/'pɪŋpɒŋ/,n.,乒乓球运动
every,/'evri/,adj.,每一；每个
day,/deɪ/,n.,一天；白天
week,/wiːk/,n.,周
father,/'fɑːðə(r)/,n.,父亲；爸爸
lot,/lɒt/,pron.,大量；许多
read,/riːd/,v.,读；阅读
piano,/pi'ænəʊ/,n.,(pl. pianos) 钢琴
well,/wel/,adv. & interj. & adj.,好；令人满意地；嗯；好吧；健康的
basketball,/'bɑːskɪtbɔːl/,n.,篮球；篮球运动
classroom,/'klɑːsruːm/,n.,教室
their,/ðeə(r)/,pron.,他（她、它）们的
little,/'lɪtl/,adj.,小的；年幼的
ball,/bɔːl/,n.,球
playground,/'pleɪɡraʊnd/,n.,游乐场；操场
talk,/tɔːk/,v. & n.,说话；交谈
tall,/tɔːl/,adj.,高的
short,/ʃɔːt/,adj.,短的；矮的
hair,/heə(r)/,n.,头发
long,/lɒŋ/,adj.,长的
quiet,/'kwaɪət/,adj.,安静的
girl,/ɡɜːl/,n.,女孩
but,/bʌt; bət/,conj.,但是
any,/'eni/,adj. & pron.,任何（的）；任一（的）
here,/hɪə(r)/,adv.,在这里
photo,/'fəʊtəʊ/ (= photograph /'fəʊtəɡrɑːf/),n.,(pl. photos) 照片
pink,/pɪŋk/,adj. & n.,粉红色（的）
always,/'ɔːlweɪz/,adv.,总是
night,/naɪt/,n.,夜晚
think,/θɪŋk/,v.,思考
all,/ɔːl/,pron. & adj.,所有（的）；全部（的）
listen,/'lɪsn/,v.,听
football,/'fʊtbɔːl/,n.,足球；足球运动
happy,/'hæpi/,adj.,快乐的
eye,/aɪ/,n.,眼睛
clever,/'klevə(r)/,adj.,聪明的
next,/nekst/,"adj., adv. & n.",下一个（的）
him,/hɪm; ɪm/,pron.,（he 的宾格）他
help,/help/,v. & n.,帮助
front,/frʌnt/,n.,前面
art,/ɑːt/,n.,艺术；美术
middle,/'mɪdl/,n. & adj.,中间；中间的
between,/bɪ'twiːn/,prep.,在……之间
library,/'laɪbrəri/,n.,图书馆
blackboard,/'blækbɔːd/,n.,黑板
up,/ʌp/,adv.,向上
back,/bæk/,n. & adj. & adv.,后面；背部；后面的；背后的；回来；回原处
clock,/klɒk/,n.,时钟；钟
map,/mæp/,n.,地图
computer,/kəm'pjuːtə(r)/,n.,电脑
window,/'wɪndəʊ/,n.,窗户
science,/'saɪəns/,n.,科学
picture,/'pɪktʃə(r)/,n.,照片；图画
famous,/'feɪməs/,adj.,著名的
table,/'teɪbl/,n.,桌子
today,/tə'deɪ/,adv. & n.,在今天；今天
email,/'iːmeɪl/,n. & v.,电子邮件；（给某人）发电子邮件
answer,/'ɑːnsə(r)/,v. & n.,回答；答复；答案
question,/'kwestʃən/,n.,问题
exercise,/'eksəsaɪz/,n. & v.,运动；锻炼；练习
way,/weɪ/,n.,方式；道路
clean,/kliːn/,adj. & v.,干净的；使……干净；打扫
best,/best/,adj. & adv.,最好的；最
because,/bɪ'kɒz/,conj.,因为
why,/waɪ/,adv.,为什么
dear,/dɪə(r)/,adj.,亲爱的
tell,/tel/,v.,告诉
interesting,/'ɪntrəstɪŋ/,adj.,有趣的
subject,/'sʌbdʒɪkt/,n.,学科；科目
learn,/lɜːn/,v.,学习；得知
maths,"/mæθs/ (= mathematics /ˌmæθə'mætɪks/, math /mæθ/)",n.,数学
PE,/ˌpiː 'iː/ (= physical /'fɪzɪkl/ education /ˌedʒu'keɪʃn/),n.,体育
hard,/hɑːd/,adj. & adv.,困难的；努力地
difficult,/'dɪfɪkəlt/,adj.,困难的
sure,/ʃʊə(r)/,adv.,当然；一定
easy,/'iːzi/,adj.,容易的
use,/juːz/; /juːs/,v. & n.,使用；利用；使用；用途
give,/ɡɪv/,v.,给；送给；供给
idea,/aɪ'dɪə/,n.,想法；主意
draw,/drɔː/,v.,画画
travel,/'trævl/,v. & n.,旅行；游历
walk,/wɔːk/,v. & n.,行走；步行
afternoon,/ˌɑːftə'nuːn/,n.,下午
then,/ðen/,adv.,那时；然后；那么
Miss,/mɪs/,,（对未婚女子的礼貌称呼）小姐；女士
work,/wɜːk/,v. & n.,工作
sometimes,/'sʌmtaɪmz/,adv.,有时
feel,/fiːl/,v.,感觉；觉得
busy,/'bɪzi/,adj.,忙碌的；无暇的
study,/'stʌdi/,v. & n.,学习；研究
song,/sɒŋ/,n.,歌曲
out,/aʊt/,adv. & prep.,（从……里）出来；出去
sing,/sɪŋ/,v.,唱歌
right,/raɪt/,interj. & adj. & n. & adv.,对吗；正确的；适当的；右边；向右边
swim,/swɪm/,v. & n.,游泳
run,/rʌn/,v. & n.,跑；跑步
fast,/fɑːst/,adv. & adj.,快地；快的
dance,/dɑːns/,v. & n.,跳舞
fish,/fɪʃ/,n. & v.,鱼；鱼肉；钓鱼
fly,/flaɪ/,v.,飞
watch,/wɒtʃ/,v. & n.,注视；观看；表；手表
cake,/keɪk/,n.,蛋糕
cook,/kʊk/,v. & n.,做饭；厨师
story,/'stɔːri/,n.,故事
noodle,/'nuːdl/,n.,(usually pl.) 面条
open,/'əʊpən/,v. & adj.,打开；开放的；敞开的
bird,/bɜːd/,n.,鸟
take,/teɪk/,v.,拍照；拿；取；买下
visit,/'vɪzɪt/,v. & n.,参观；拜访
park,/pɑːk/,n.,公园
when,/wen/,adv.,什么时候
write,/raɪt/,v.,写
share,/ʃeə(r)/,v.,分享；合用；分担
o'clock,/ə'klɒk/,adv.,（表示整点）……点钟
half,/hɑːf/,n. & pron.,一半；半；半数
dress,/dres/,v. & n.,穿衣服；连衣裙
breakfast,/'brekfəst/,n.,早餐
before,/bɪ'fɔː(r)/,prep. & conj. & adv.,在……以前；以前
begin,/bɪ'ɡɪn/,v.,开始
dinner,/'dɪnə(r)/,n.,正餐；主餐
early,/'ɜːli/,adj. & adv.,早的；早期的；提前；在早期
ask,/ɑːsk/,v.,询问；请求
lunch,/lʌntʃ/,n.,午餐
film,/fɪlm/,n.,电影
minute,/'mɪnɪt/,n.,分；分钟
lesson,/'lesn/,n.,课；一节课
ice,/aɪs/,n.,冰；冰块
hour,/'aʊə(r)/,n.,小时
birthday,/'bɜːθdeɪ/,n.,生日
month,/mʌnθ/,n.,月份
gift,/ɡɪft/,n.,礼物
party,/'pɑːti/,n.,聚会
buy,/baɪ/,v.,买
shop,/ʃɒp/,n. & v.,商店；逛商店；在商店购物
woman,/'wʊmən/,n.,(pl. women /'wɪmɪn/) 女人
candle,/'kændl/,n.,蜡烛
will,/wɪl/,modal v.,将要；会
egg,/eɡ/,n.,蛋
juice,/dʒuːs/,n.,果汁
milk,/mɪlk/,n.,牛奶
candy,/'kændi/,n.,糖果
drink,/drɪŋk/,n. & v.,饮品；喝
card,/kɑːd/,n.,厚纸片；卡片
doll,/dɒl/,n.,玩偶；玩具娃娃
Mrs,/'mɪsɪz/,,（对已婚妇女的礼貌称呼）夫人；太太
eat,/iːt/,v.,吃
wish,/wɪʃ/,v. & n.,希望；祝愿；愿望
nurse,/nɜːs/,n.,护士
hear,/hɪə(r)/,v.,听到
door,/dɔː(r)/,n.,门
one,/wʌn/,num.,一
two,/tuː/,num.,二
three,/θriː/,num.,三
four,/fɔː(r)/,num.,四
five,/faɪv/,num.,五
six,/sɪks/,num.,六
seven,/'sevn/,num.,七
eight,/eɪt/,num.,八
nine,/naɪn/,num.,九
ten,/ten/,num.,十
eleven,/ɪ'levn/,num.,十一
twelve,/twelv/,num.,十二
thirteen,/ˌθɜː'tiːn/,num.,十三
fourteen,/ˌfɔː'tiːn/,num.,十四
fifteen,/ˌfɪf'tiːn/,num.,十五
sixteen,/ˌsɪk'stiːn/,num.,十六
seventeen,/ˌsevn'tiːn/,num.,十七
eighteen,/ˌeɪ'tiːn/,num.,十八
nineteen,/ˌnaɪn'tiːn/,num.,十九
twenty,/'twenti/,num.,二十
thirty,/'θɜːti/,num.,三十
forty,/'fɔːti/,num.,四十
fifty,/'fɪfti/,num.,五十
sixty,/'sɪksti/,num.,六十
seventy,/'sevnti/,num.,七十
eighty,/'eɪti/,num.,八十
ninety,/'naɪnti/,num.,九十
hundred,/'hʌndrəd/,num.,百
thousand,/'θaʊznd/,num.,千
million,/'mɪljən/,num.,百万
first,/fɜːst/,num.,第一
second,/'sekənd/,num.,第二
third,/θɜːd/,num.,第三
fourth,/fɔːθ/,num.,第四
fifth,/fɪfθ/,num.,第五
sixth,/sɪksθ/,num.,第六
seventh,/'sevnθ/,num.,第七
eighth,/eɪtθ/,num.,第八
ninth,/naɪnθ/,num.,第九
tenth,/tenθ/,num.,第十
eleventh,/ɪ'levnθ/,num.,第十一
twelfth,/twelfθ/,num.,第十二
thirteenth,/ˌθɜː'tiːnθ/,num.,第十三
fourteenth,/ˌfɔː'tiːnθ/,num.,第十四
fifteenth,/ˌfɪf'tiːnθ/,num.,第十五
sixteenth,/ˌsɪk'stiːnθ/,num.,第十六
seventeenth,/ˌsevn'tiːnθ/,num.,第十七
eighteenth,/ˌeɪ'tiːnθ/,num.,第十八
nineteenth,/ˌnaɪn'tiːnθ/,num.,第十九
twentieth,/'twentiəθ/,num.,第二十
thirtieth,/'θɜːtiəθ/,num.,第三十
fortieth,/'fɔːtiəθ/,num.,第四十
fiftieth,/'fɪftiəθ/,num.,第五十
sixtieth,/'sɪkstiəθ/,num.,第六十
seventieth,/'sevntiəθ/,num.,第七十
eightieth,/'eɪtiəθ/,num.,第八十
ninetieth,/'naɪntiəθ/,num.,第九十
hundredth,/'hʌndrədθ/,num.,第一百
thousandth,/'θaʊzndθ/,num.,第一千
millionth,/'mɪljənθ/,num.,第一百万
January,/'dʒænjuəri/,n.,一月
February,/'februəri/,n.,二月
March,/mɑːtʃ/,n.,三月
April,/'eɪprəl/,n.,四月
May,/meɪ/,n.,五月
June,/dʒuːn/,n.,六月
July,/dʒu'laɪ/,n.,七月
August,/'ɔːɡəst/,n.,八月
September,/sep'tembə(r)/,n.,九月
October,/ɒk'təʊbə(r)/,n.,十月
November,/nəʊ'vembə(r)/,n.,十一月
December,/dɪ'sembə(r)/,n.,十二月
Monday,/'mʌndeɪ; -di/,n.,星期一
Tuesday,/'tjuːzdeɪ; -di/,n.,星期二
Wednesday,/'wenzdeɪ; -di/,n.,星期三
Thursday,/'θɜːzdeɪ; -di/,n.,星期四
Friday,/'fraɪdeɪ; -di/,n.,星期五
Saturday,/'sætədeɪ; -di/,n.,星期六
Sunday,/'sʌndeɪ; -di/,n.,星期天
