单词,音标,词性,中文
(a)round,/raund/,adv & prep,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱"
to travel around,,adv,到处旅行
to sit around the table,,prep,围坐在桌旁
arrive,/ә'raiv/,v,"vi. 到达, 抵达"
art,/ɑ:t/,n,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术"
article,/'ɑ:tikl/,n,"n. 文章, 冠词, 物品, 物件, 条款, 契约"
artist,/'ɑ:tist/,n,"n. 艺术家, 画家"
as,/æz/,prep,"adv. 同样地, 例如"
ask,/ɑ:sk/,v,"vi. 问, 要求"
assistant,/ә'sistәnt/,n,"n. 助手, 助理, 助教"
as well,,adv,也
as well as,,prep phr,"也, 又"
at,/æt/,prep,"prep. 在, 向, 对"
at / @,/æt/,n,"prep. 在, 向, 对"
at all,,adv,"根本, 完全"
aunt,/ɑ:nt/,n,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母"
autumn,/'ɒ:tәm/,n,"n. 秋天, 成熟期"
away,/ә'wei/,adv,adv. 离去
baby,/'beibi/,n,n. 婴孩
back,/bæk/,"n, adv & adj",a. 后面的
bad,/bæd/,adj,a. 坏的
bag,/bæg/,n,"n. 袋子, 袋状物"
ball,/bɒ:l/,n,"n. 球, 舞会, 球状物"
banana,/bә'nɑ:nә/,n,n. 香蕉
band,/bænd/,n,"n. 带子, 队, 乐队"
bank,/bæŋk/,n,"n. 银行, 堤, 岸"
barbecue,/'bɑ:bikju:/,n,n. 烤肉
baseball,/'beisbɒ:l/,n,n. 棒球
basketball,/'bɑ:skitbɒ:l/,n,n. 篮球
bath,/bæθ.bɑ:θ/,n,"n. 沐浴, 浴室"
bathroom,/'bɑ:θru:m/,n,"n. 浴室, 厕所"
be,/bi:/,v,"v. 是, 表示, 在"
beach,/bi:tʃ/,n,n. 海滩
bear,/bєә/,n,n. 熊
beautiful,/'bju:tiful/,adj,a. 美丽的
because,/bi'kɒ:z/,conj,conj. 因为
become,/bi'kʌm/,v,"vi. 变成, 变得"
bed,/bed/,n,"n. 床, 睡眠处, 河床, 底座, 路基, 一层"
bedroom,/'bedrum/,n,n. 卧室
before,/bi'fɒ:/,adv & prep,prep. 在...之前
begin,/bi'gin/,v,v. 开始
beginner,/bi'ginә/,n,n. 初学者
behind,/bi'haind/,adv & prep,adv. 在后地
believe,/bi'li:v/,v,v. 相信
belong,/bi'lɒŋ/,v,"vi. 属于, 合适"
below,/bi'lәu/,prep,prep. 在下面
belt,/belt/,n,"n. 带子, 地带"
between,/bi'twi:n/,prep,prep. 在...之间
bicycle,/'baisikl/,n,n. 自行车
big,/big/,adj,"a. 大的, 重要的"
bike,/baik/,n,"n. 自行车, 脚踏车"
bill,/bil/,n,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据"
bird,/bә:d/,n,"n. 鸟, 羽毛球"
birthday,/'bә:θdei/,n,n. 生日
biscuit,/'biskit/,n,n. 饼干
bit,/bit/,n,"n. 少量, 马嚼子, 辅币"
black,/blæk/,adj,"n. 黑色, 黑颜料"
blanket,/'blæŋkit/,n,"n. 毛毯, 毯子"
blond(e),/blɒnd/,adj,a. 金发的
blouse,/blauz/,n,n. 宽松的上衣
blue,/blu:/,adj,n. 蓝色
board,/bɒ:d/,n,"n. 木板, 甲板, 膳食, 会议桌"
boat,/bәut/,n,n. 船
body,/'bɒdi/,n,"n. 身体, 人, 尸体, 主要部分, 团体"
boil,/bɒil/,v,"n. 煮沸, 沸腾, 疖"
book,/buk/,n & v,"n. 书, 书籍, 帐簿, 名册, 工作簿"
bookshelf,/'bukʃelf/,n,n. 书架
bookshop,/'bukʃɒp/,n,n. 书店
boot,/bu:t/,n,"n. 长靴, 踢, 解雇, 效用"
bored,,adj,a. 无聊的；烦人的；无趣的
boring,/'bɒ:riŋ/,adj,"a. 烦人的, 无聊的, 无趣的"
born,/bɒ:n/,adj,a. 天生的
borrow,/'bɒrәu/,v,"vt. 借, 借入, 借用"
boss,/bɒs/,n,"n. 老板, 上司, 岩瘤, 浮雕, 母牛"
both,/bәuθ/,pron & det,a. 两者的
bottle,/'bɒtl/,n,"n. 瓶子, 酒瓶"
bottom,/'bɒtәm/,n,n. 底部
bowl,/bәul/,n,"n. 碗, 木球, 大酒杯"
box,/bɒks/,n,"n. 盒子, 箱, 方框, 一巴掌"
boy,/bɒi/,n,n. 男孩
brake,/breik/,n & v,"n. 刹车, 阻碍, 丛林"
bread,/bred/,n,"n. 面包, 生计, 食物"
break,/breik/,n & v,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变"
a break for lunch,,n,午餐休息
Someone’s broken the window.,,v,有人打破了窗户。
breakfast,/'brekfәst/,n,n. 早餐
bridge,/bridʒ/,n,"n. 桥, 舰桥, 桥梁, 桥牌"
brilliant,/'briljәnt/,adj,"a. 光辉的, 灿烂的, 有才气的"
bring,/briŋ/,v,"vt. 带来, 产生, 促使, 提出"
brother,/'brʌðә/,n,n. 兄弟
brown,/braun/,adj,n. 褐色
build,/bild/,v,"v. 建立, 建筑"
building,/'bildiŋ/,n,"n. 建筑物, 建筑"
burger,/'bә:ɡә/,n,n. 汉堡包（等于hamburger）
burn,/bә:n/,v,"vt. 烧, 烧毁, 烧伤"
bus,/bʌs/,n,n. 公共汽车
business,/'biznis/,n,"n. 生意, 事情, 业务, 商业, 商行, 职责"
businessman,/'biznismæn/,n,"n. 商人, 实业家, 工商业家"
businesswoman,/'bizniswjmæn/,n,"n. 商人, 办理实务的人, 经商者"
bus station,/bʌs ˈsteiʃən/,n,n. 公交车站
bus stop,,n,公共汽车站
busy,/'bizi/,adj,"a. 忙碌的, 热闹的, 没空的"
but,/bʌt/,conj,prep. 除了
butter,/'bʌtә/,n,"n. 奶油, 黄油"
buy,/bai/,v,"vt. 买, 获得"
by,/bai/,prep,"prep. 被, 经, 由, 在...之旁"
cafe/café,/kɑ:'fei/,n,"n. 咖啡馆, 酒店"
cake,/keik/,n,"n. 蛋糕, 块, 饼"
call,/kɒ:l/,v,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求"
camel,/'kæml/,n,"n. 骆驼, 打捞浮筒"
camera,/'kæmәrә/,n,"n. 照相机, 摄影机, 密谈室, 暗箱"
camp,/kæmp/,n & v,"n. 露营, 帐篷"
campsite,/kæmp'sait/,n,n. 营地
can,/kæn/,n & v,vt. 装罐
canal,/kә'næl/,n,"n. 运河, 水道, 管, 沟渠"
car,/kɑ:/,n,"n. 汽车, 客车"
card,/kɑ:d/,n,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机"
career,/kә'riә/,n,"n. 事业, 生涯, 成功"
careful,/'kєәful/,adj,"a. 小心的, 谨慎的"
carpet,/'kɑ:pit/,n,"n. 地毯, 地毯状物"
carrot,/'kærәt/,n,n. 胡萝卜
carry,/'kæri/,v,"n. 进位, 射程, 运载"
cartoon,/kɑ:'tu:n/,n,"n. 卡通画, 漫画"
cash,/kæʃ/,n & v,n. 现金
I’d like to cash this cheque.,,v,我想兑现这张支票。
castle,/'kæsl. 'kɑ:sl/,n,"n. 城堡, 象棋中的车"
cat,/kæt/,n,"n. 猫, 恶妇"
catch,/kætʃ/,v,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手"
cathedral,/kә'θi:drәl/,n,n. 大教堂
CD,,n,"n. 镭射碟, 镭射唱片"
CD player,,n,激光唱机；CD播放器
cent,/sent/,n,n. 分
centre,/'sentә/,n,"n. 中心, 中心点, 中锋"
centimetre,"/'senti,mi:tә(r)/",n,"n. 厘米, 公分"
century,/'sentʃuri/,n,"n. 世纪, 百年"
certain,/'sә:tәn/,adj,"a. 确定的, 某一个的, 必然的"
certainly (not),/'sә:tәnli/,adv,adv. 确定地
chair,/tʃєә/,n,"n. 椅子, 显要的席位, 主席"
change,/tʃeindʒ/,v & n,"n. 变化, 找回的零钱, 找头, 更换"
channel,/'tʃænәl/,n,"n. 海峡, 航道, 频道"
chat,/tʃæt/,n,n. 闲谈
chatroom,/'tʃætˌru:m/,n,（电脑网络上的）聊天室，交谈室
cheap,/tʃi:p/,adj,"a. 便宜的, 不值钱的, 可鄙的"
check,/tʃek/,v,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军"
cheers!,,exclam,痛饮一杯
cheese,/tʃi:z/,n,n. 乳酪
chemist,/'kemist/,n,"n. 化学家, 药剂师"
cheque,/tʃek/,n,n. 支票
chicken,/'tʃikin/,n,"n. 小鸡, 鸡肉"
child,/tʃaild/,n,"n. 孩子, 产物, 追随者"
chips,/tʃips/,n pl,n. 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
chocolate,/'tʃɒkәlit/,n,n. 巧克力
choose,/tʃu:z/,v,"vt. 选择, 宁愿, 欲"
church,/tʃә:tʃ/,n,"n. 教堂, 礼拜, 教会"
cinema,/'sinәmә/,n,"n. 电影院, 电影"
circus,/'sә:kәs/,n,"n. 马戏团, 马戏, 竞技场"
city,/'siti/,n,"n. 城市, 市"
class,/klɑ:s/,n,"n. 班级, 阶级, 种类, 课"
class member,,n,是类成员
classical,/'klæsikl/,adj,"a. 古典的, 正统派的, 经典的"
classmate,/'klɑ:smeit/,n,n. 同班同学
classroom,/'klɑ:sru:m/,n,n. 教室
clean,/kli:n/,adj & v,"a. 干净的, 清白的, 简洁的"
clear,/kliә/,adj,"a. 清楚的, 明确的, 澄清的"
clever,/'klevә/,adj,"a. 聪明的, 精明的"
click,/klik/,v,"n. 咔哒声, 啪嗒声"
climb,/klaim/,v,"v. 攀登, 上升, 爬"
clock,/klɒk/,n,"n. 时钟, 计时器, (袜子上的)绣花边花"
close,/klәuz/,v,"n. 结束, 完结"
closed,/klәuzd/,adj,"a. 关闭的, 限于少数人的"
close to,,prep phr,"接近于, 靠近于"
clothes,/klәuðz/,n pl,n. 衣服
cloud,/klaud/,n,"n. 云, 阴暗, 烟雾, 疑团"
cloudy,/'klaudi/,adj,"a. 多云的, 有愁容的, 云的, 浑浊的"
clown,/klaun/,n,"n. 小丑, 乡下人"
club,/klʌb/,n,"n. 俱乐部, 木棍, 球棒"
coach,/kәutʃ/,n,"n. 四轮大马车, 教练"
coat,/kәut/,n,n. 外套
coffee,/'kɒfi/,n,"n. 咖啡, 咖啡色"
cold,/kәuld/,adj & n,"n. 感冒, 寒冷"
colleague,/'kɒli:g/,n,"n. 同事, 同僚"
collect,/kә'lekt/,v,"v. 收集, 聚集, 集中, 搜集"
college,/'kɒlidʒ/,n,"n. 学院, 大学, 学会"
colour,/'kʌlә/,n,"n. 颜色, 面色, 颜料, 外貌"
comb,/kәum/,n,"n. 头梳, 鸡冠"
come,/kʌm/,v,"vi. 过来, 来, 到达, 出现, 开始"
comfortable,/'kʌmfәtәbl/,adj,"a. 舒服的, 轻松的"
company,/'kʌmpәni/,n,"n. 公司, 友伴, 交往, 连队, 朋友, 一群"
competition,/.kɒmpi'tiʃәn/,n,"n. 竞争, 竞赛"
computer,/kәm'pju:tә/,n,"n. 电脑, 电子计算机"
concert,/'kɒnsәt/,n,"n. 音乐会, 和声, 一致"
congratulations!,,exclam,恭喜您！
conversation,/.kɒnvә'seiʃәn/,n,"n. 会话, 说话, 交谈"
cook,/kuk/,n & v,"n. 厨子, 厨师"
cooker,/'kukә/,n,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者"
cool,/ku:l/,adj,"n. 凉爽, 凉爽的空气"
corner,/'kɒ:nә/,n,"n. 角落, 转角, 窘境"
correct,/kә'rekt/,adj,"a. 正确的, 合适的"
cost,/kɒst/,n & v,"n. 代价, 价值, 费用"
costume,/'kɒstju:m/,n,"n. 装束, 服装"
could,/kud/,v,"aux. 可以, 能"
country,/'kʌntri/,n,"n. 国家, 乡村, 地区, 故乡"
countryside,/'kʌntrisaid/,n,"n. 乡下地方, 乡下居民"
course,/kɒ:s/,n,"n. 课程, 路线, 过程, 一道菜, 道路"
of course,,not,当然
cousin,/'kʌzәn/,n,"n. 堂兄弟姊妹, 表兄弟姊妹"
cow,/kau/,n,"n. 母牛, 母兽"
cream,/kri:m/,n,"n. 乳酪, 奶油, 面霜"
credit card,,n,"[计] 信用卡, 记帐卡"
cross,/krɒs/,v,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交"
crossing,/'krɒsiŋ/,n,"n. 横越, 横渡, 交叉点, 渡口"
dinner,/'dinә/,n,"n. 晚餐, 正餐, 宴会"
dinosaur,/'dainәsɒ:/,n,n. 恐龙
diploma,/di'plәumә/,n,"n. 文凭, 毕业证书"
dirty,/'dә:ti/,adj,"a. 肮脏的, 卑鄙的"
disco,/'diskәu/,n,"n. 夜总会, 迪斯科, 的士高"
discount,/'diskaunt/,n,"n. 折扣, 贴现率"
dish,/diʃ/,n,"n. 盘子, 碟, 菜肴"
crossroads,,n,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
crowd,/kraud/,n,"n. 群众, 一伙人"
crowded,/'kraudid/,adj,"a. 拥挤的, 塞满的"
cry,/krai/,v,"n. 叫声, 哭声, 大叫"
cup,/kʌp/,n,"n. 杯子, 茶杯, 优胜杯"
cupboard,/'kʌpbɒ:d/,n,"n. 食橱, 碗柜, 餐具柜"
curtains,/'kә:tәnz/,n,n. [俚]灾难；窗帘（curtain的复数）
customer,/'kʌstәmә/,n,n. 消费者
cut,/kʌt/,v,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路"
cycle,/'saikl/,v,"n. 周期, 循环, 自行车, 一段时间, 整套"
dad(dy),/dæd/,n,"n. 爸爸, 爹爹"
daily,/'deili/,adj & adv,"a. 每日的, 日常的"
dance,/dæns. dɑ:ns/,n & v,"n. 跳舞, 舞蹈, 舞会"
dancing,/'dænsiŋ/,n,n. 舞蹈
danger,/'deindʒә/,n,"n. 危险, 威胁"
dangerous,/'deindʒәrәs/,adj,a. 危险的
dark,/dɑ:k/,adj,"n. 黑暗, 夜, 黄昏, 模糊"
date,/deit/,n,"n. 日期, 约会, 枣椰树"
daughter,/'dɒ:tә/,n,n. 女儿
day,/dei/,n,"n. 天, 日子, 白天, 工作日"
dead,/ded/,adj,"a. 死的, 不活泼的, 麻木的, 熄灭的"
dear,/'diә/,adj,n. 亲爱的人
decide,/di'said/,v,"v. 决定, 判决"
degree,/di'gri:/,n,"n. 程度, 度数, 学位, 度"
delay,/di'lei/,n & v,"n. 耽搁, 迟滞"
There will be a delay of two hours.,,n,将延迟两小时。
The flight is delayed.,,v,航班延误。
dentist,/'dentist/,n,n. 牙科医生
department,/di'pɑ:tmәnt/,n,"n. 部门, 系, 机关"
describe,/di'skraib/,v,"vt. 描述, 描绘, 画"
desk,/desk/,n,"n. 书桌, 办公桌, 工作台"
diary,/'daiәri/,n,n. 日记
dictionary,/'dikʃәnәri/,n,"n. 字典, 词典"
die,/dai/,v,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望"
difference,/'difәrәns/,n,"n. 不同, 差异"
different,/'difәrәnt/,adj,a. 不同的
difficult,/'difikәlt/,adj,a. 困难的
digital,/'didʒitәl/,adj,"a. 数字显示的, 数字的"
dining room,,n,饭厅
do,/du:/,v,"v. 做, 进行, 完成"
doctor,/'dɒktә/,n,"n. 医生, 博士"
dog,/dɒg/,n,"n. 狗, 坏蛋"
dollar,/'dɒlә/,n,"n. 美元, 元(加、澳等国货币单位)"
dolphin,/'dɒlfin/,n,n. 海豚
door,/dɒ:/,n,n. 门
dot,/dɒt/,n,"n. 点, 圆点, 小数点, 小东西, 嫁妆"
double,/'dʌbl/,adj,n. 两倍
down,/daun/,adv & prep,a. 向下的
download,,n & v,"[计] 卸载, 下栽"
internet.,,v,互联网。
Can you get these as a download?,,n,您可以下载这些文件吗？
downstairs,/'daun'stєәz/,adv,n. 楼下
dragon,/'drægәn/,n,"n. 龙, 凶暴的人"
draw,/drɒ:/,v,"vi. 拉, 拖, 拔剑"
drawing,/'drɒ:iŋ/,n,"n. 图画, 制图, 拉"
dream,/dri:m/,n & v,"n. 梦, 空想, 愿望"
dress,/dres/,n & v,"n. 服装, 覆盖物"
drink,/driŋk/,n & v,"n. 饮料, 酒"
drive,/draiv/,v,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器"
driving licence,/ˈdraiviŋ ˈlaisəns/,n,n. 驾驶执照
drum,/drʌm/,n,"n. 鼓, 鼓声"
dry,/drai/,adj & v,"a. 干的, 无酒的, 枯燥无味的, 干燥的"
during,/'djuәriŋ/,prep,prep. 在...的时候
DVD,,n,abbr. 数字化视频光盘（Digital Video Disk）
DVD player,,n,DVD机
each,/i:tʃ/,det & pron,"a. 每个, 每一"
ear,/iә/,n,"n. 耳朵, 倾听, 听觉, 穗"
early,/'ә:li/,adj & adv,"a. 早的, 早熟的"
earn,/ә:n/,v,"vt. 赚得, 获得, 博得"
east,/i:st/,"n, adj & adv","n. 东方, 东"
easy,/'i:zi/,adj,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的"
eat,/i:t/,v,"v. 吃, 腐蚀"
egg,/eg/,n,"n. 蛋, 卵"
electric,/i'lektik/,adj,"a. 电的, 导电的, 电动的"
electricity,/.ilek'trisiti/,n,"n. 电, 电流, 电学, 热情, 电力供应"
elephant,/'elifәnt/,n,n. 象
else,/els/,adv,"a. 别的, 其他的"
email,/'i:'meil/,n & v,n. 电子信函
empty,/'empti/,adj & v,"a. 空的, 空虚的, 空腹的, 空洞的"
end,/end/,v & n,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余"
engine,/'endʒin/,n,"n. 引擎, 发动机, 机车"
engineer,/.endʒi'niә/,n,"n. 工程师, 工兵"
enjoy,/in'dʒɒi/,v,"vt. 享受, 喜欢, 欣赏"
enough,/i'nʌf/,det & pron,"n. 充足, 够, 很多"
enter,/'entә/,v,"vt. 进入, 参加, 开始, 输入, 回车"
entrance,/'entrәns/,n,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任"
envelope,/'envәlәup/,n,"n. 信封, 封套, 封袋"
euro,/'juәrәu/,n,n. 欧元（欧盟的统一货币单位）
even,/'i:vәn/,adv,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的"
evening,/'i:vniŋ/,n,"n. 傍晚, 晚间, 末期"
ever,/'evә/,adv,"adv. 曾经, 究竟, 永远"
every,/'evri/,det,"a. 每一, 所有的"
everybody,/'evribɒdi/,pron,"pron. 每个人, 人人"
everyone,/'evriwʌn/,pron,"pron. 每个人, 人人"
everything,/'evriθiŋ/,pron,"pron. 每件事物, 所有事物"
everywhere,/'evrihwєә/,adv,"adv. 各处, 到处"
examination/exam,/ig.zæmi'neiʃәn/,n,"n. 考试, 测验, 审查"
example,/ig'zæmpl/,n,"n. 例子, 样本, 实例"
excellent,/'ekslәnt/,adj,"a. 优良的, 杰出的, 出色的"
except,/ik'sept/,prep,"vt. 除, 除外"
exercise,/'eksәsaiz/,n & v,"n. 行使, 执行, 运动, 练习, 作业"
excited,/ik'saitid/,adj,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
exciting,/ik'saitiŋ/,adj,"a. 令人兴奋的, 刺激的"
excuse,/ik'skju:z/,v,"vt. 原谅, 申辩, 做为...的托辞"
exhibition,/.eksi'biʃәn/,n,"n. 表现, 展览会, 展览品"
exit,/'eksit/,n,"n. 出口, 退场, 离去, 去世"
expensive,/ik'spensiv/,adj,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的"
explain,/ik'splein/,v,"v. 解释, 说明"
explore,/ik'splɒ:/,v,"v. 探险, 探测, 探究"
explorer,/ik'splɒ:rә/,n,"n. 探险家, 探测者, 勘探器"
extra,/'ekstrә/,det & adj,"n. 额外的事物, 另外的收费"
face,/feis/,n,"n. 脸, 面容, 正面, 外观"
factory,/'fæktәri/,n,"n. 工厂, 产生地, 代理店"
fan,/fæn/,n,"n. 风扇, 迷, 狂热者, 爱好者"
fail,/feil/,v,"vi. 失败, 缺乏, 中断, 衰退, 失灵"
fair,/fєә/,adj,"n. 展览会, 市集, 美好的事物"
fall,/fɒ:l/,v,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天"
family,/'fæmәli/,n,"n. 家庭, 家人, 族"
famous,/'feimәs/,adj,"a. 出名的, 极好的"
far,/fɑ:/,adv,"a. 远的, 久远的, 遥远的"
farm,/fɑ:m/,n,"n. 农场, 农田"
fashion,/'fæʃәn/,n,"n. 流行, 风尚, 时样"
fast,/fɑ:st/,adj & adv,"a. 快速的, 紧的"
fast food,/fɑ:st fu:d/,n,n. 速食; 快餐
fat,/fæt/,adj,"n. 脂肪, 脂油, 肥肉"
father,/'fɑ:ðә/,n,"n. 父亲, 祖先, 长辈, 神父, 创始者"
favourite,/'feivәrit/,adj,n. 喜欢的事物
feel,/fi:l/,v,"vt. 感觉, 觉得, 触摸, 以为"
festival,/'festәvәl/,n,"a. 节日的, 喜庆的, 快乐的"
few,/fju:/,det & adj,"a. 很少的, 不多的, 少数的"
field,/fi:ld/,n,"n. 领域, 田地, 场地, 战场, 场, 域"
fill,/fil/,v,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应"
fill in,,phr v,"填充, 填写, 填满, 替代"
film,/film/,n & v,"n. 软片, 薄膜, 胶卷, 电影"
find,/faind/,v,"vt. 发现, 感到, 找到, 认为, 得到"
fine,/fain/,adj,"n. 罚款, 罚金, 晴天, 精细"
finish,/'finiʃ/,v,"n. 完成, 结束, 末道漆, 磨光, 完美"
fire,/'faiә/,n,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情"
first,/fә:st/,adv & adj,"adv. 首先, 第一, 优先"
First… then…,,adv,首先…然后…
John came first.,,adv,约翰是第一位的。
first name,,adj,名
fish,/fiʃ/,n & v,"n. 鱼, 鱼肉, 鱼类, 接合板"
fit,/fit/,adj,"n. 适宜, 合身, 发作, 痉挛"
flat,/flæt/,n,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的"
flight,/flait/,n,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝"
floor,/flɒ:/,n,"n. 地板, 楼层, 底部, 底价"
flower,/'flauә/,n,"n. 花, 开花植物, 精华, 盛时"
fly,/flai/,n & v,"n. 苍蝇, 两翼昆虫, 飞行"
fog,/fɒg/,n,"n. 雾, 迷惑, (割后的)最生草, 苔藓"
foggy,/'fɒgi/,adj,"a. 雾深的, 模糊的"
follow,/'fɒlәu/,v,"vt. 跟随, 沿行, 遵循, 追求"
food,/fu:d/,n,"n. 食物, 养料"
foot,/fut/,n,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵"
football,/'futbɒ:l/,n,"n. 足球, 橄榄球"
for,/fɒ:/,prep,"prep. 为, 因为, 至于"
foreign,/'fɒ:rin/,adj,"a. 外国的, 外交的, 外省的, 外来的, 不相关的"
forest,/'fɒrist/,n,"n. 森林, 林区"
forget,/fә'get/,v,"vt. 忘记, 忽略, 忘"
fork,/fɒ:k/,n,"n. 叉子, 叉状物, 分岔"
form,/fɒ:m/,n,"n. 形状, 形体, 类型, 方式, 表格, 形式"
free,/fri:/,adj,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的"
fresh,/freʃ/,adj,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的"
fridge,/fridʒ/,n,n. 电冰箱
fried,/fraid/,adj,a. 油炸的
friend,/frend/,n,"n. 朋友, 支持者, 赞助者"
friendly,/'frendli/,adj,"a. 友好的, 亲切的, 互助的"
from,/frɒm/,prep,"prep. 从, 来自, 根据"
front,/frʌnt/,n,"n. 前面, 开头, 前线, 阵线, 态度"
fruit,/fru:t/,n,"n. 水果, 果类, 结果"
fry,/frai/,v,"n. 油炸食物, 鱼苗"
full (of),/ful/,adj,"n. 全部, 完整"
fun,/fʌn/,n,"n. 乐趣, 玩笑, 娱乐"
funny,/'fʌni/,adj,"a. 好笑的, 有趣的, 滑稽的"
furniture,/'fәnitʃә/,n,"n. 家具, 帆具"
