# Appendix 1 词族展开（PDF 用 etc. 省略，按官方 spec 显式展开）
shopper	n	购物者
player	n	运动员；选手；玩家
riding	n	骑马（活动）
swimming	n	游泳（活动）
tennis player	n	网球运动员
winner	n	获胜者；赢家
skiing	n	滑雪（运动）
swimming costume	n	泳衣
surfboarding	n	冲浪板运动
half past	prep phr	…点半
working hours	n pl	工作时间
delayed	adj	延误的；迟的
worker	n	工人；工作者
listen to	prep phr	听
singer	n	歌手
writer	n	作家
New Year	n	新年
# 小学高频词兜底（review 通过；worklog 记录来源）
eye	n	眼睛
finger	n	手指
toe	n	脚趾
knee	n	膝盖
niece	n	侄女；外甥女
nephew	n	侄子；外甥
rabbit	n	兔子
snake	n	蛇
duck	n	鸭子
noodles	n pl	面条
sausage	n	香肠
pie	n	馅饼；派
honey	n	蜂蜜
strawberry	n	草莓
pear	n	梨
peach	n	桃子
mango	n	芒果
cola	n	可乐
kick	v	踢
smile	n & v	微笑；笑容
wish	n & v	愿望；祝愿
bake	v	烤；烘焙
brush	n & v	刷子；刷
hold	v	拿着；握住
wide	adj	宽的
weak	adj	虚弱的
simple	adj	简单的
true	adj	真实的
ugly	adj	丑的
alive	adj	活着的
sleepy	adj	困的；想睡的
rainy	adj	下雨的；多雨的
snowy	adj	下雪的；多雪的
stormy	adj	有暴风雨的
along	prep & adv	沿着；向前
beside	prep	在…旁边
housework	n	家务
season	n	季节
rainbow	n	彩虹
gym	n	体育馆；健身房
metal	n	金属
circle	n	圆形；圆圈
triangle	n	三角形
doll	n	玩具娃娃
printer	n	打印机
van	n	面包车；货车
jazz	n	爵士乐
ruler	n	尺子
rubber	n	橡皮
notebook	n	笔记本
schoolbag	n	书包
scissors	n pl	剪刀
crayon	n	蜡笔
sharpener	n	卷笔刀
tie	n & v	领带；系
cap	n	帽子；鸭舌帽
gloves	n pl	手套
scarf	n	围巾
Christmas	n	圣诞节
Easter	n	复活节
Halloween	n	万圣节前夜
badminton	n	羽毛球运动
cough	n & v	咳嗽
fever	n	发烧
headache	n	头痛
gardener	n	园丁；园艺工人
postman	n	邮递员
fire station	n	消防站
firefighter	n	消防员
shoulder	n	肩膀
thumb	n	拇指
pyjamas	n pl	睡衣
toast	n	烤面包片；吐司
cereal	n	谷类早餐；麦片
pancake	n	薄煎饼
milkshake	n	奶昔
wave	n & v	波浪；挥手
fix	v	修理；安装
perfect	adj	完美的
delicious	adj	美味的
fantastic	adj	极好的
huge	adj	巨大的
tiny	adj	极小的
narrow	adj	狭窄的
bat	n	球拍；蝙蝠
goal	n	球门；目标
score	n & v	得分；分数
skating	n	滑冰（活动）
dozen	num	十二；一打
Mexico	n	墨西哥
Mexican	adj & n	墨西哥的；墨西哥人
