# 人工定稿表（plan Step 4b）：word \t 中文。优先级最高，覆盖自动流水线输出。
# 来源：5 批人工 review 全部 1500 词后逐条修正。
a, an	一（个）
kite	风筝
knife	刀，小刀
lake	湖
language	语言
last	最后的；上一个
laugh	笑，大笑
leather	皮革
left	左边，左侧；左边的
left hand	左手
leg	腿
lemon	柠檬
let	让，允许
letter	信；字母
lift	电梯；举起
light	光，灯；轻的
line	线，线条；排
lion	狮子
live	活着，生活；居住
long	长的；长久的
look	看，看起来；表情
look after	照顾，照看
look at	看，注视
look out	当心，留神
lot	许多，大量
loud	大声的
magazine	杂志
main course	主菜
make up	组成；编造；化妆
manager	经理
many	许多的，许多
map	地图
market	市场，集市
match	比赛；火柴；相配
mean	意思是，意指
meal	一餐，饭
meet	遇见；会面
menu	菜单
metal	金属
metre	米，公尺
middle	中间，中央
milk	奶，牛奶
million	百万
mind	介意；留心
mirror	镜子
Miss	小姐，女士
mistake	错误
modern	现代的
moment	片刻，瞬间
Monday	星期一
monkey	猴子
month	月，月份
moon	月亮，月球
more	更多的；更
morning	早晨，上午
most	大多数；最
mother	母亲
motorbike	摩托车
mountain	山，山脉
mouse	老鼠；鼠标
move	移动；搬家；感动
much	许多的，大量的
must	必须，一定
my	我的
name	名字，名称
nature	自然，大自然
near	近的；接近
neck	脖子，颈
need	需要
neighbour	邻居
news	新闻，消息
next to	紧挨着，在…近旁
nice	美好的，令人愉快的
no	不，没有
noisy	嘈杂的，喧闹的
noon	正午，中午
north	北方；北的
nose	鼻子
note	笔记；便条；注意到
nothing	没有什么，没有东西
number	数字；号码
nurse	护士
occupation	职业，工作
o'clock	…点钟
of course	当然
office	办公室
often	经常，常常
oil	油；石油
OK	好的；行；可以
online	在线的；联网的
open	开着的；打开
opera	歌剧
opposite	在…对面；对面的
orange	橙子；橙色（的）
order	顺序；命令；订购
out	在外；熄灭
outside	在外面；在…外面
over	在…上方；越过；结束
pack	包装；收拾（行李）
page	页，页面
pain	疼痛；痛苦
paint	油漆；绘画，涂色
pardon	请再说一遍；原谅
parent	父（母）亲
park	公园；停车
parrot	鹦鹉
pasta	意大利面食
pence	便士（penny的复数）
penny	便士
perfect	完美的
pet	宠物
pharmacy	药房，药店
phone	电话；打电话
photo	相片，照片
photography	摄影，摄影术
piano	钢琴
picnic	野餐
picture	图画，照片
pillow	枕头
pilot	飞行员
pink	粉红色的
pity	遗憾，可惜
pizza	比萨饼
place	地方，地点
plan	计划；打算
plane	飞机；平面
plant	植物；工厂
plastic	塑料
plate	盘子，碟子
play	玩耍；比赛；剧本
player	运动员；选手；玩家
playground	操场，游乐场
pleasant	令人愉快的
please	请；使高兴
pocket	口袋
point	指，指向；要点
police	警察
police car	警车
police station	警察局，派出所
pool	水池，泳池
poor	贫穷的；可怜的
pop	流行音乐；砰的一声；汽水
post	邮政，邮件；邮寄
poster	海报，招贴
post office	邮局
potato	马铃薯，土豆
pound	英镑；磅
practice	练习；实践
practise	练习
prefer	更喜欢
present	礼物；现在的
pretty	漂亮的
price	价格
prize	奖赏，奖品
problem	问题，难题
programme	节目；程序；计划
project	计划，项目
pull	拉，拖，拔
pupil	学生
purple	紫色的
purse	钱包
push	推
put	放，摆
put on	穿上，戴上；上演
quarter	四分之一；一刻钟
queen	女王，王后
question	问题
quick	快的，迅速的
quiet	安静的
quite	相当，十分
quiz	小测验，知识竞赛
race	赛跑，比赛；种族
racket	球拍
radio	收音机；无线电
railway	铁路
rain	雨；下雨
raincoat	雨衣
rap	说唱音乐；轻敲
rather	宁可；相当，有点
read	读，阅读
ready	准备好的
real	真的，真实的
really	确实，真的
receptionist	接待员
red	红色的
reggae	雷鬼音乐
remember	记得，记住
rent	租用；出租
repair	修理，修补
rest	休息；其余
restaurant	餐馆，饭店
return	回来，返回；归还
rice	米，米饭
rich	富裕的；丰富的
ride	骑，乘坐
right	正确的；右边的；右边
river	河，江
road	路，道路
roast	烤，炙
rock	岩石；摇滚乐
roof	屋顶
room	房间；空间
round	圆的；球形的
roundabout	环岛，环形交叉口
rubber	橡皮
ruler	尺子
run	跑，奔跑；经营
sad	伤心的，难过的
safe	安全的
sail	航行；帆
salad	色拉，沙拉
sale	出售；大减价
salt	盐
sandwich	三明治
sausage	香肠
save	救；储蓄；节省
say	说，讲
school	学校
score	得分；分数
screen	屏幕；银幕
sea	大海，海洋
seat	座位
second	第二（的）；秒
secretary	秘书
see	看见；明白
sell	卖，出售
send	发送；寄
sentence	句子
September	九月
several	几个，一些
shall	将要
shampoo	洗发水；洗头发
sheet	床单；一张纸
shelf	架子，搁板
ship	船，舰
shirt	衬衫
shoe	鞋
shop	商店；购物
short	短的；矮的
shorts	短裤
should	应该
shout	高喊，呼喊
show	展示；演出；节目
shower	阵雨；淋浴
shut	关上
sick	有病的；恶心的
side	旁边；面，侧面
silver	银；银色的
sing	唱，唱歌
single	单身的；单一的
sister	姐妹
sit	坐
sit down	坐下
size	大小，尺寸
skate	滑冰，滑旱冰
skateboard	滑板
ski	滑雪
skirt	短裙，裙子
sky	天空
sleep	睡，睡觉
slow	慢的
small	小的
smoke	吸烟；烟
snack	小吃，点心
snake	蛇
snow	雪；下雪
snowboard	滑雪板
soap	肥皂
sock	短袜
sofa	沙发
some	一些，若干
somebody	有人，某人
someone	有人，某人
something	某事，某物
sometimes	有时
somewhere	某处
son	儿子
song	歌曲
soon	不久，很快
sorry	难过的；抱歉的
sound	声音；听起来
soup	汤
south	南方；南的
space	空间；太空
speak	说，讲（某种语言）
special	特别的
spell	拼写
spend	花费；度过
spoon	勺子，汤匙
sport	运动
sports centre	体育中心，运动馆
square	正方形；广场
staff	全体职员
stadium	体育场
stage	舞台；阶段
stamp	邮票；印章
stand	站，站立；忍受
star	星，恒星；明星
start	开始，启动
station	车站
stay	停留，逗留；保持
steak	牛排，肉排
steal	偷，窃取
still	仍然
stomach	胃，肚子
stop	停止；车站
store	商店；储存
storm	暴风雨
story	故事，小说
straight	直的；笔直地
straight on	一直向前
strange	奇怪的；陌生的
street	街道
strong	强壮的；坚固的
student	学生
studies	学习，学业
study	学习；研究
subject	科目，学科；主题
success	成功，成就
such	如此的，这样的
suddenly	突然
sugar	糖
suit	西装，套装；适合
summer	夏季，夏天
sun	太阳，阳光
Sunday	星期日
sunny	阳光充足的
supermarket	超级市场，超市
supper	晚餐
suppose	推想，认为
sure	确信的，肯定的
surprise	惊奇，惊讶；惊喜
sweater	毛衣，毛线衫
sweet	糖果；甜的
swim	游泳
table	桌子；表格
take	拿，取；带走
take off	脱下；起飞
talk	谈话，交谈
tall	高的
taxi	出租车，计程车
tea	茶；茶叶
teach	教，讲授
teacher	教师
team	队，组
teenager	青少年（13-19岁）
telephone	电话；打电话
television	电视
tell	告诉；吩咐
temperature	温度；体温
tennis	网球
tent	帐篷
term	学期；术语；期限
terrible	可怕的；极坏的
test	测试，测验
text	短信；文本；课文
text book	课本，教科书
text message	短信，文字信息
than	比
thank	谢谢，感谢
the	这，那（定冠词）
theatre	剧院，剧场
their	他们的
theirs	他们的（东西）
them	他们，她们，它们
themselves	他们自己
then	然后；当时
there	在那里
these	这些
they	他们，它们
thin	薄的；细的；瘦的
thing	东西，事物
think	想，思考，认为
third	第三
thirsty	口渴的
thirteen	十三
this	这，这个
those	那些
thousand	千
three	三
through	经过，穿过
throw	投，掷，抛
thumb	拇指
thunderstorm	雷暴，雷雨
Thursday	星期四
ticket	票，券
tidy	整齐的；整理
tidy up	整理，收拾
tie	领带；系，捆
tiger	老虎
tights	紧身衣裤，裤袜
till	直到，在…以前
time	时间；次，回
to	到，向
toast	烤面包片；吐司
today	今天；当今
toe	脚趾
together	一起，共同
toilet	厕所，洗手间
tomato	番茄，西红柿
tomorrow	明天
tonight	今晚，今夜
too	也；太
tooth	牙齿
toothbrush	牙刷
top	顶部；上衣
total	总共的；总数
tour	旅游，观光
tour guide	导游
tourist	游客，观光客
towel	毛巾
town	城镇
toy	玩具
traffic	交通，运输
traffic lights	红绿灯
train	火车；训练
trainers	运动鞋
tram	有轨电车
travel	旅行，出行
travel agent	旅行社；旅行代理人
tree	树，树木
trip	旅行，出行
trouble	烦恼，麻烦
trousers	裤子，长裤
try	试，尝试
try on	试穿
T-shirt	T恤衫，短袖衫
Tuesday	星期二
turn	转动，转弯；变得
turn off	关掉，关上
turn on	打开，开启
TV	电视
twice	两次；两倍
two	二
type	类型，样式
tyre	轮胎
ugly	丑的，难看的
umbrella	伞，雨伞
uncle	叔叔，伯父，舅舅
under	在…下面
underground	地铁；地下的
understand	理解，明白
uniform	制服
university	大学
until	直到
up	向上；在上面
upstairs	在楼上
us	我们
use	使用，运用
useful	有用的
usual	平常的，通常的
van	面包车；货车
variety	多样，种类
vegetable	蔬菜
very	非常
video	录像；视频
video recorder	录像机
village	村庄
violin	小提琴
visit	拜访，参观
visitor	参观者，游客
volleyball	排球
wait	等候，等待
waiter	服务员
waitress	女服务员
wake up	醒来，唤醒
walk	走路，步行
wall	墙，墙壁
wallet	皮夹，钱包
want	要，想要
warm	暖和的，温暖的
wash	洗，洗涤
wash up	洗餐具；洗手洗脸
watch	手表；观看
water	水
wave	波浪；挥手
way	路，路线；方法
we	我们
weak	虚弱的
wear	穿，戴；磨损
weather	天气
website	网站
wedding	婚礼
Wednesday	星期三
week	星期，周
weekday	工作日，平日
weekend	周末
weekly	每周的
welcome	欢迎
well	好；健康的；井
west	西方；西的
wet	湿的，多雨的
whale	鲸
what	什么
wheel	轮子；车轮
when	何时，当…时候
where	在哪里
which	哪一个
while	当…的时候；虽然
white	白色的
who	谁
whole	整个的，全部的
whose	谁的
why	为什么
wide	宽的
wife	妻子
wild	野生的；野性的
will	将要；愿意
win	赢得，获胜
wind	风
window	窗户
windsurfing	帆板运动
windy	多风的
winner	获胜者；赢家
winter	冬季，冬天
wish	愿望；祝愿
wishes	祝愿，祝福
with	和…在一起；用
without	没有，无
woman	女人，妇女
wonderful	令人惊奇的；极好的
wood	木材，木头
wool	羊毛；毛线
work	工作，劳动
worker	工人；工作者
working hours	工作时间
world	世界，地球
worry	使烦恼；担心
would	将；愿意
write	书写，写
write down	写下，记下
writer	作家
wrong	错误的
year	年，年度
yellow	黄色的；黄色
yes	是，对
yesterday	昨天
yet	还，尚
you	你，你们
young	年轻的
your	你的，你们的
yours	你的（东西），你们的（东西）
yourself	你自己
zero	零
zoo	动物园
give	给，交给
love	爱，热爱
mummy	妈妈
miss	想念；错过；未击中
arm	手臂，胳膊
body	身体，躯体
can	能，会；罐头
cheers	干杯！；再见！
kind	种类；善良的
laptop	笔记本电脑
like	喜欢；像，如
mobile phone	手机
at the same time	同时
credit card	信用卡
